Название вакансии,Описание вакансии,Заработная плата,Дата публикации,Название региона,Работодатель,Ключевые навыки,Опыт работы,График работы
Разработчик/аналитик BI,"Сегодня билайн — компания изменений, чутко реагирующая на потребности рынка и людей. А ещё билайн — это команда, объединённая общими ценностями и общей целью — быть лидером телеком и digital рынков, предоставляя нашим клиентам новейшие продукты и услуги, а также сервис самого высокого уровня. В команду Vas-продуктов для дома ищем Разработчика/аналитика BI, который готов решать вместе с нами амбициозные задачи. Итак, тебе предстоит:  Построение системы аналитики и витрин данных; Разработка аналитических моделей и приложений в QlikSense; Создание структуры данных и метрик, проектирование моделей данных, визуализация отчетности; Разработка процессов загрузки и преобразования данных в QlikSense; Построение SQL — запросов различной степени сложности (для формирования дашбордов в QlikSense); Участие в построении внутренних аналитических сервисов.  Мы будем рады рассмотреть твою кандидатуру, если у тебя есть:  Опыт разработки приложений на Qlik Sense; Знание SQL на продвинутом уровне и опыт работы с реляционными БД; Опыт подключения разнородных источников данных (базы данных, выгрузки/отчеты, API).  Что мы предлагаем:  Сплоченную команду профессионалов, в которой можно не только успешно реализовывать проекты, но и перенимать опыт и развиваться; Обучение, участие в интересных проектах и расширение профессиональной экспертизы: мы участвуем в конференциях, митапах и публикуемся на Хабр и т.д.; Конструктивную и открытую рабочую атмосферу; Полис добровольного медицинского страхования, обслуживаемый в лучших клиниках; Корпоративные скидки на фитнес, обучение, путешествия и т.п.; Служебную сотовую связь. ",0,2024-02-14 00:00:00 +0700 +07,Москва,билайн,SQL,1-3,Удаленная работа
Аналитик данных (Rambler&Co),"Rambler&amp;Co занимает первое место среди медиахолдингов России по объему аудитории цифровых ресурсов — свыше 45,2 млн человек ежемесячно (по данным Mediascope, Cross Web, 2023). В него входит «Лента.ру», «Газета.Ru», Championat.com, портал «Рамблер», «Секрет фирмы» и ряд других медиаактивов. Благодаря различной тематической принадлежности площадок холдинг покрывает почти весь спектр интересов и потребностей различных аудиторий. Чем предстоит заниматься?  Разработкой, автоматизацией, визуализацией и интерпретацией регулярной (годовой, квартальной, ежемесячной и т.д.) отчетности медиахолдинга по коммерческим KPI посредством корпоративного хранилища данных; проведением анализа трендов коммерческих бизнес-показателей в различных срезах; обеспечением проведения пост-анализа инициатив по продуктам основного бизнеса; проверкой гипотез на данных и обработкой ad-hoc запросов; по запросу бизнес-лидеров - мониторингом и анализом показателей, реализованных инициатив, пилотных запусков, подготовкой аналитических выводов; участием в развитии функциональности, быстродействия, выявлении и устранении несоответствия данных корпоративного хранилища данных; участием в разработке витрин данных, необходимых для проведения анализа эффектов от запуска коммерческих инициатив; исследованием рынков с поиском данных из внешних источников; работой с хранилищем данных (БД), формированием SQL-запросов.  Что мы ценим и ищем?  Высшее образование техническое или математическое; опыт работы в аналитике от 2-х лет; опыт анализа больших объемов данных, построения моделей, прогнозирования на будущие периоды, или отсутствие опыта, но знание математической статистики и методов статистического анализа данных (кластеризация, регрессионный, факторный, дисперсионный и корреляционный анализы); опыт в медиа от 1 года будет плюсом; SQL - написание сложных запросов, опыт с BI - системами.  Что тебя ждет?   Официальное трудоустройство; современный офис (на Даниловской мануфактуре), собственный спортзал от «Лиги Героев», а также занятия футболом, настольный теннис, бокс и групповые тренировки «Здоровая спина»; ДМС со стоматологией, офисный врач, доплата больничного листа, корпоративные скидки; электронная библиотека издательства МИФ, в которую входят почти 2 тыс. единиц контента по бизнесу, саморазвитию, здоровому образу жизни и другим актуальным темам; льготные условия ипотеки в рамках зарплатного проекта; бесплатная подписка на сервисы партнеров; насыщенная корпоративная жизнь. ",0,2024-02-21 00:00:00 +0700 +07,Москва,Rambler&Co,,1-3,Полный день
Аналитик (разработчик),"БКС Мир инвестиций – международная инвестиционно-банковская компания, одна из крупнейших в России. Мы существуем на рынке уже 28 лет и предоставляем клиентам максимально широкий спектр брокерских и инвестиционных услуг. Сегодня БКС Мир инвестиций обслуживает более 1 млн клиентов, а в холдинге работает около 6000 сотрудников – наши филиалы расположены по всей России. Мы знаем об инвестициях все и успешно помогаем нашим клиентам достигать финансовых целей: создаем универсальную платформу для инвестиций и предлагаем широкий спектр услуг и продуктов – только самые эффективные инструменты, высококачественную аналитику и сильнейшую экспертизу. Присоединяйся к нашей команде, если тебе интересна финансово-инвестиционная сфера, профессиональный и карьерный рост и финансовый успех! Чем предстоит заниматься:  Собирать, анализировать и утверждать с Заказчиком требований на разработку новой и доработку действующей отчетности; Собирать / дорабатывать витрины данных, на основании которых формируется отчетность; Собирать / дорабатывать визуализации отчетности в Excel / BI; Поддерживать и контролировать качества данных в действующей отчетности; Выгружать AD-HOC запросы; Анализировать данные и проводить оценку существующей отчетности, осуществлять разработку и внедрение предложений по ее оптимизации.  Наши ожидания:  Высшее образование; Опыт работы с отчетностью по направлению продаж (предпочтителен опыт в финансовом секторе) не менее 2 лет; Умение получать нужную информацию из неструктурированного исходного материала: интервью, письма, встречи; Умение работать с большим количеством данных и обрабатывать их; Владеете Excel, SQL, Tableau (любая система BI) на продвинутом уровне; Опыт работы с VBA будет преимуществом Быть самостоятельным, проактивным и отвечать за результат.  Мы предлагаем:  Заработную плату: конкурентный уровень оклада + премии; Мероприятия по дополнительной мотивации; Комфортный офис в центре (м. Проспект Мира); Работу в компании-лидере инвестиционного рынка; Оформление согласно ТК РФ; Активную корпоративную жизнь и дружную команду; ДМС, корпоративные скидки и предложения для сотрудников ",150000,2024-02-16 00:00:00 +0700 +07,Москва,Компания БКС,Разработка BI;Организация и управление бизнес-процессами;Ведение финансовой отчетности;Ведение отчетности,1-3,Полный день
Аналитик BI (Developer Superset),"Задачи:  Развивать действующие и создавать новые BI модели; Создавать витрины данных по запросу; Выявлять закономерности и улучшать качество аналитики; Анализировать ручные процессы с целью их дальнейшей автоматизации; Проводить Ad-hoc исследования и осуществлять выгрузку по запросу; Готовить материалы для улучшения качества визуализации; Взаимодействовать с технической дирекцией и отделом дизайна для интеграции решений на платформе единого продукта.  Ожидания от кандидата:  Обязателен опыт работы с Apache Superset от 2х лет; Опыт сбора и фиксации требований от бизнес-заказчика в проектной документации; Умение декомпозировать требования и проводить постанализ; Опыт написания технических заданий на разработку; Опыт работы c PostgreSQL (подзапросы, JOINы, оконные функции).  Мы предлагаем:​​​​​​​  Полностью официальное трудоустройство (ТК, ГПХ, ИП, СЗ); «Белая» заработная плата; ДМС (после ИС); Удаленка или гибрид (Мск); Проф. обучение за счет компании; Открытый диалог со всеми работниками в компании; Принять участие в создании сложного продукта в AgriTech.  Обязательно указывайте в сопроводительном письме зарплатные ожидания!)",0,2024-01-21 00:00:00 +0700 +07,Москва,Ассистагро,Apache Superset;PostgreSQL;Microsoft Power BI,3-6,Удаленная работа
Аналитик данных,"Обязанности:   разработка и развитие управленческих отчетов;   анализ и описание бизнес-требований;   участие в реализации доработок (интеграции, дополнительные настройки в соответствии с требованиями Банка и тд), а также в поддержке и доработке дэшбордов на сопровождении;      участие в составлении и согласовании требований; участие в тестировании и внедрении;   участие в работе 3-й линии поддержки.  Требования:    опыт работы от 2 - 3 лет в качестве BI аналитика навык подготовки функциональной документации (спецификации, требования на доработку, технические задания); технологический кругозор BI инструментов; знание основ SQL, Python    Условия:  Конкурентную заработную плату (по итогам технического интервью) Офис в г. Москва (гибрид) ",0,2024-01-09 00:00:00 +0700 +07,Москва,Bell Integrator,Python;SQL,1-3,Полный день
Ведущий аналитик данных,"KMA.BIZ (KissMyAds) — одна из крупнейших российских товарных партнерских программ, основана в 2013 году(арбитраж). И дочерняя компания call media (колл-центр, продают товары для красоты и здоровья) У нас есть собственная линейка товаров для здоровья и красоты и партнерская программа по их продвижению. Мы обеспечиваем полный цикл создания и развития своих офферов, начиная от разработки продуктовой и маркетинговой концепций, и заканчивая обработкой заявок собственным call-центром и доставкой товаров клиентам. Обязанности:  Разработка дашбордов; Формирование выгрузок с помощью SQL-запросов и Python; Анализ технических заданий на предмет достаточности и непротиворечивости данных; Проектирование структуры и макета дашборда; Проектирование визуализаций, в соответствии с потребностями и ожиданиями пользователей; Участие в проекте по созданию корпоративного хранилища данных и системы отчетности; Подготовка материалов и документов, включая справки и презентации, в зоне ответственности Управления.  Требования:  Опыт работы с yandex datalens; Уверенное знание SQL, методик и принципов построения дашбордов; Знания в области современных технологий обработки и анализа данных; Умение работать с данными, с большим объемом информации.  Условия:  Четкий график 5/2 с 9:00 до 18:00, суббота и воскресение - стабильные выходные. Возможен как офисный формат, так и гибрид/удаленка. Мы ценим баланс работы и личной жизни. У каждого должно быть время на семью, друзей, на бег по утрам или любимую книгу; Отталкиваемся от Ваших зарплатных ожиданий; Возможности карьерного роста, так как направление активно развивается. Мы поддерживаем стремление построить карьеру и реализовать себя.  Если ты готов стать частью нашей команды и помочь нам достичь новых высот в бизнесе, то мы ждем твоего отклика. Не упусти свой шанс стать частью успешной компании и получить ценный опыт.",0,2024-01-09 00:00:00 +0700 +07,Москва,Callmedia,Визуализация данных;Microsoft Power BI;Python;SQL;Анализ данных,3-6,Удаленная работа
Ведущий специалист НСИ,"Приглашаем в команду Ведущего специалиста НСИ в связи с расширением пула сложных и интересных задач на производстве. Локация: г. Обнинск , 80 км от Москвы. оплата жилья при переезде- предоставляется сумма на оплату съема квартиры или дома.​​​​​​ Компания - лидер рынка по производству антифризов, автомасел, смазочных материалов и других автомобильных спецжидкостей. ИТ-подразделение является отдельно выделенной, аккредитованной как ИТ, компанией. со всеми вытекающими отсюда плюсами. Какие задачи предстоит выполнять:  Разработка принципов классификации и кодирования номенклатурных объектов, планирование работ по направлению развития НСИ; Нормализация и формирование перечня необходимых и достаточных технических характеристик для классификации номенклатурных групп; Разработка и проектирование бизнес-процессов управления НСИ; Разработка и экспертиза методических документов и регламентов по ведению НСИ; Консолидация и обработка требований к справочным данным (мастер-данным), в том числе к уровню качества и к алгоритмам формирования эталонных данных; Участие в проектах по созданию и изменению централизованно ведущейся НСИ; Участие в работах по обработке инцидентов, возникающих при эксплуатации централизованно ведущейся НСИ.  От Вас ожидаем:  Высшее образование (желательно техническое); Экспертные знания процессов обработки и ведения НСИ (хранение и управление изменениями мастер-данных, валидация и очистка данных, передача мастер данных в системы подписчики) и других смежных процессов; Понимание архитектуры решений МДМ систем; Участие в проектах разработки структуры НСИ, автоматизации процессов ведения НСИ; Опыт внедрения систем на платформе 1С (крайне желательно) не менее 3х лет; Опыт работы в проектах по интеграции корпоративных приложений; Умение работать в команде, обучаемость, нацеленность на результат, ответственность, аккуратность, коммуникабельность.  Что готовы предложить:  Все плюсы аккредитованной ИТ компании; Зарплата: от 230 000 руб. на руки. (в зависимости от квалификации, окладно -премиальная система); Профессиональная современная команда, включая руководителей и много амбициозных интересных задач; Официальное трудоустройство и все социальные гарантии; ДМС; Локация: г. Обнинск. Предусмотрена компенсация квартиры и ГСМ.  Если наша вакансия заинтересовала, скорее откликайтесь, мы будем рады познакомиться и пригласить Вас на собеседование!",230000,2024-02-11 00:00:00 +0700 +07,Москва,КСК ЭКСПЕРТ,Работа с ERP-системами;Аналитическое мышление;Управление данными,3-6,Полный день
Аналитик данных,"Компания «Витрина ТВ» создана крупнейшими медиахолдингами России — Национальной Медиа Группой, ВГТРК, Первым каналом и Газпром Медиа — для объединения ресурсов и создания единой технологии трансляции телеканалов в интернете. Мы назначены РКН уполномоченной организацией по трансляции в интернете каналов первого и второго мультиплекса. Сейчас Витрина ТВ обеспечивает трансляцию телеканалов, управляет их распространение и осуществляет мониторинг для всех сайтов и приложений, которые показывают прямой эфир российских телеканалов, таких как ivi, wink, okko, more.tv и т.п. Наши задачи:  разработка и предоставление ПО площадкам для показа прямого эфира телеканалов на сайтах, в мобильных приложениях и Smart TV показ рекламы учет статистических данных защита от нелегального просмотра Мы ищем специалиста на позицию аналитик данных  Что нужно будет делать:  Подготовка и анализ данных для вещателей телеканалов и селлеров рекламы Автоматизация процесса подготовки отчётов на основе данных из внутренних источников Работа с базами данных, контроль качества и целостности данных: выявление ошибок и сбоев в сборе Отслеживание и анализ ключевых метрик Разработка рекомендаций по улучшению системы мониторинга и QoS на основе собираемых данных и мониторинга Контроль и прогнозирование затрат интернет-трафика на вещание телеканалов  Требования к кандидату:  Продвинутое знание Exсel; Знание SQL на хорошем уровне, понимание, как работают вложенные запросы, агрегатные и оконные функции; Опыт работы с большими массивами данных; Понимание основ математической статистики;  Будет плюсом:  Python на уровне обработки, анализа и прогнозирования данных(Pandas, Scipy, Numpy, Matplotlib/Plotly/Seaborn, Statsmodels, Scikit-learn) Опыт визуализации в DataLens (или другом BI инструменте) Знание показателей телесмотрения Понимание работы интернет-рекламы     Что мы готовы предложить:  Сложные и ответственные задачи, профессиональный рост и уникальный опыт создания продуктов в масштабе аудитории основных федеральных каналов Оформление в штат компании Достойный уровень заработной платы, обсуждаем индивидуально на собеседовании ДМС после прохождения испытательного срока Гибридный график работы и гибкое начало рабочего дня. Современный и удобный офис в пешей доступности от м. Тульская Компания имеет аккредитацию в Минцифры (со всеми полагающимися льготами поддержки IT-отрасли)    ",0,2024-01-09 00:00:00 +0700 +07,Москва,Медиа Бизнес Солюшенс,Python;SQL;Обучаемость и адаптивность,1-3,Полный день
Бизнес-аналитик (BI-отчетность по Ассортименту),"«Спортмастер» — это международный спортивный ритейлер, в команде которого работает более 20 тысяч сотрудников в нескольких странах мира: России, Беларуси, Казахстане, Армении. Наша миссия — быть проводником в мир спорта, спортивного стиля и активного отдыха. Партнёрство, дружба, доверие, честность – главные ценности Спортмастер. Что необходимо делать?  Осуществлять взаимодействие с бизнес-заказчиками и разработчиками автоматизированной отчетности Участвовать в развитии источников данных Создавать, развивать и поддерживать BI – отчетность Готовить, проводить презентации и demo для Заказчиков Участвовать в создании необходимой документации по BI-решениям Обеспечивать аналитическую поддержку подразделений (Ad-hoc отчеты, выгрузки данных)  С радостью рассмотрим кандидатуру, если у тебя есть:   Опыт работы бизнес-аналитиком, экономистом, товарным аналитиком от года   Системное мышление, умение структурировать и визуализировать информацию   Хорошие коммуникативные навыки (проведение встреч и презентаций)   Умение работать в команде   Умение и готовность работы в режиме многозадачности   Стремление к профессиональному развитию   Нацеленность на результат   Аккуратность, внимательность к деталям   Что мы предлагаем?  Возможность выбирать режим работы (офис, гибрид) Гибкое начало рабочего дня: с 8 до 17, с 9 до 18, с 10 до 19 Забота о здоровье: полис ДМС, собственные спортивные секции (волейбол, баскетбол, беговой клуб, мини-футбол, хоккей) Дисконтную карту, предоставляющую скидку 30% на товары во всех магазинах Спортмастер, O’Stin, FunDay, Demix, Urban Vibes; Обучение и развитие (как внутреннее, так и внешнее) + корпоративные скидки на Skyeng, Яндекс.флоу, РУНО, Синергию, Language Link, Skillbox, Advanced; Бонусы от компании: льготное кредитование, корпоративные скидки на страхование, льготные тарифы на сотовую связь, скидки на спортивные мероприятия, фитнес, в сеть кинотеатров КАРО, Московский театр мюзикла, Москвариум и пр.Некоторые бонусы предоставляются по принципу &quot;кафетерия&quot;. Расскажем об этом подробнее при первом контакте ",0,2024-01-18 00:00:00 +0700 +07,Москва,Спортмастер,Разработка BI;Confluence;Управление проектами;Microsoft Power BI;Microsoft Power BI;Microsoft Power BI;Разработка BI;Коммуникативная грамотность;Создание презентационных материалов;Публичные выступления и проведение презентаций;Публичные выступления и проведение презентаций;Информационная грамотность;Системное и интегративное мышление,1-3,Полный день
Аналитик Power BI,"Привет! В наш сервис connect.mybi.ru требуется аналитик данных с уверенным знанием MS Power BI, реальным опытом работы веб-источниками и большими моделями данных.Наш сервис выполняет задачи выгрузки данных из различных источников в базу данных для создания аналитических решений пользователями. Нам нужен коллега, способный изучить особенности текущих выгрузок, структуру БД и помогать с созданием отчетов и кейсов в Power BI. Специалисту на данной позиции предстоит изучить выгрузки наиболее популярных источников данных - CRM-систем, рекламных кабинетов, счетчиков статистики и прочих онлайн инструментов, которые осуществляет наш сервис для создания шаблонных решений в MS Power BI. Кроме этого предстоит консультировать пользователей нашего сервиса, использующих Power BI, создавать статьи и развивать наш блога - www.powerbirussia.ru Приветствуются знания таких технологий как cube.js, dbt, vega-lite. Обязательное требование к специалисту - желание расти и быстро развиваться в том числе самостоятельно. Удаленная работа. Требования:   Уверенное знание Power BI, моделирования, DAX   Уверенное знание основных принципов организации данных, отличие кубов от снежинок,   Опыт применения с облачных источниками данных (счетчики посещаемости, рекламные кабинеты, CRM системы и другие источники mybi connect)   Стаж от 3х лет   Условия:   Полная занятость (но можем рассмотреть и частичную загрузку, если специалист подойдет)   ЗП в зависимости от вашей квалификации   Переход на фикс + % после испытательного срока (3 месяца)   Рост до менеджера по продукту   В сопроводительном письме хотели бы увидеть ваш реальный опыт.",100000,2024-02-12 00:00:00 +0700 +07,Москва,myBI,DAX;Microsoft Power BI;SQL,3-6,Удаленная работа
