"name","description","salary","publication_date","region_name","employer","main_skills","work_experience","work_schedule","id"
аналитик 1c:erp / 1c:erp we,"autoallianse является надежным поставщиком оригинальных автозапчастей на рынке рф. решает комплексные задачи поставок автозапчастей, начиная от помощи в размещении заказа, заканчивая логистикой груза до склада клиента. портфель брендов компании насчитывает более 50 контрактов с ведущими мировыми и российскими производителями автозапчастей. мы усиливаем команду для реализации амбициозного международного проекта по внедрению «1с:erp world edition»! проект будет номинирован в конкурсе &quot;1с: проект года&quot; в 2024 году  важно!!! офис/гибрид, обратите внимание на наш адрес!  создание межнациональной модульной распределенной информационной системы для управления материальными и денежными ресурсами; разработка витрины данных для консолидации сведений о состоянии оплаты и доставки товаров; реализация обменов с сайтами и маркетплейсами; создание личного кабинета поставщика, личного кабинета покупателя; обеспечение работы высоконагруженных адресных складов, интеграция с торговым оборудованием (сканеры шк, принтеры этикеток, весы, тсд) и мобильным приложением (тсд); разработка логистической подсистемы для формирования оптимальных маршрутов и расчета стоимости доставки; интеграция с учетными системами поклажедателей, поклажедержателей, перевозчиков; поддержка мультивалютности и мультиязычности; интеграция с национальными системами учета.  что мы можем предложить:  быстрая прокачка профессиональных компетенций. работа с топовым продуктом «1с:erp world edition» опыт использования и разработки собственных web- и http-сервисов, витрины данных. практика использования автоматизированного тестирования и devops-инструментов.  обязанности:  описание бизнес-процессов, разработка функциональных требований. функциональное моделирование в 1c:erp we взаимодействие с программистами по задачам, приемка работ разработка документации по работе с программой  требования:  аналитический склад ума! знание не менее двух подсистем 1c:erp (оперативный учет, финансовый учет, регл.учет / мсфо, адресный склад) опыт проектной работы (руководитель проекта / тимлид / продакт), разработка собственных конфигураций, внедрение типовых конфигураций в масштабах предприятия будут плюсом; опыт использования devops инструментов будет плюсом  условия:   уважаемые соискатели! до офиса нашей компании ходят бесплатные шаттлы от м.ховрино, мцд ст.марк, м.алтуфьево  достойный уровень дохода - готовы обсуждать пожелания кандидата; работа в успешной стабильной компании; на период испытательного срока работа в офисе! полностью белая заработная плата, полный соц.пакет; перспективы развития и карьерного роста; график работы с 09-00 до 18-00, офисный/гибридный график работы. современный комфортный офис в бц &quot;квадрум&quot;; дружная команда! ",200000,2024-02-22,москва,ФАТТУРА,"","3-6",полный день,101
ведущий аналитик данных / data scientist в направление r&d,"second sight - амбициозная ит-компания, объединившая в себе компетенции нескольких команд с более чем 10-летним опытом работы в сфере машинного обучения, больших данных, анализа социальных сетей и разработки программного обеспечения. мы ищем ведущего аналитика данных / data scientist с навыками бизнес-аналитика в направление r&amp;d, главной задачей которого будет выстраивать последовательную работу по обработке и исследованию “больших” общедоступных данных для решения бизнес-задач, стоящих перед компанией. какие задачи стоят перед сотрудником:   освоить текущие методологии и технологии сбора и аналитики данных, лежащие в основе нашего продукта;   лидировать разработку новых идей по улучшению продукта, искать новые пути, новые данные, формулировать и проверять гипотезы, проводить исследования;   самостоятельно (либо совместно с разработчиками) писать скрипты для новых adhoc закачек данных;   описывать методологии обработки данных для автоматизации новых функций продукта, контролировать внедрение новых функций в промышленную эксплуатацию;   выявлять возникающие коллизии или “узкие места” текущих методологий, предлагать варианты по их устранению;   наполнять базу знаний по продукту.   какие компетенции мы ожидаем увидеть в соискателе:   отличные знания и технические навыки работы с big data - знание python, а также различных библиотек для обработки данных, умение объединять, преобразовывать, дедуплицировать, фильтровать большие массивы данных;   уверенное знание sql и умение работы с типовыми субд;   математический бэкграунд - умение правильно считать статистику, метрики, показатели, прогнозы;   логическое мышление - умение выстраивать последовательную работу по проверке гипотез, делать обоснованные выводы из имеющихся результатов аналитики;   грамотная письменная и устная речь;   проактивность и инициативность - действовать, а не ждать, если есть мысли или идеи по улучшению процессов и продукта.   со своей стороны мы предлагаем все необходимые условия для эффективной и комфортной работы:   конкурентоспособную полностью официальную заработную плату,   заботу о сотрудниках и их семьях (дмс для сотрудников, компенсацию социально значимых расходов, материальную помощь в трудных жизненных ситуациях, услуги корпоративного психолога, бесплатная йога рядом с офисом);   профессиональное обучение за счет компании;   современную и мощную технику для работы;   гибридный формат работы: офис в 5 минутах от ст.м.парк победы, возможность удаленной работы из дома;   гибкий график работы, ненормированный рабочий день: +3 дня к ежегодному оплачиваемому отпуску;   являемся аккредитованной ит-компанией, поэтому сотрудникам доступны все положенные льготы (ит-ипотека, отсрочка);   отсутствие бюрократии, поддержание инициатив, доброжелательная атмосфера.   ждем вашего отклика! если ваш опыт, указанный в резюме, мало релевантен профилю вакансии, пожалуйста, напишите в сопроводительном письме, почему нам необходимо вас рассмотреть на данную позицию.",300000,2024-01-22,москва,Секонд Сайт,"","0",полный день,166
data engineer,"группа компаний betboom создаёт один из самых удобных и технологичных букмекерских продуктов на российском рынке. за девять лет мы выросли от новичка до одного из лидеров рынка. сейчас betboom – это более 400 клубов по всей россии, три офиса в москве и лидирующие позиции по трафику в онлайне среди букмекерских компаний (наш сайт входит в лидирующую группу букмекеров по трафику и пользователям в день). betboom занял 6-е место в категории «средние компании» среди работодателей россии (по версии hh.ru). бизнес-культура позволяет реализовывать смелые и прорывные идеи. профессиональная команда, вдохновляющая атмосфера. уважаемые кандидаты, обратите внимание на требования и условия чем предстоит заниматься:  организация процессов сбора, обработки и обмена данными; построение etl процессов (airflow/python); обеспечение сбора данных из внешних источников; участие в построении хранилища данных: проектирование, определение сущностей, формирование витрин данных; мониторинг и аудит работы системы (процесс, качество и сбои).  требования:  опыт разработки на python от 2 лет; опыт работы с airflow; навыки использования git; опыт работы с реляционными и колоночными субд (clickhouse, mariadb, postgresql); опыт разработки и оркестрации etl процессов.  что готовы тебе предложить:  гибкое начало рабочего дня, 5/2 (в пятницу сокращенный рабочий день); формат работы - офис/гибрид, полная занятость; удаленный формат готовы обсуждать оформление в аккредитованную ит-компанию по тк рф; офис - м. динамо; возможность попасть в уникальную индустрию, выполнять новые и интересные задачи, экспериментировать и принимать смелые решения; опытную команду единомышленников, готовую помочь в обучении и поддержать твои инициативы, профессиональный рост и развитие; отличное настроение на весь день: мы ценим командную работу, чувство юмора; заботу о твоём здоровье: расширенный дмс со стоматологией; хорошую физическую форму, оплачиваем фитнес, есть корпоративные спортивные секции; компенсация городской парковки.  уважаемые кандидаты, просим внимательно ознакомиться с описанием вакансии, требованиями, условиями, форматом работы и указывать зарплатные ожидания в сопроводительном письме. заранее благодарим.    ",300000,2024-02-16,москва,BetBoom,"","1-3",гибкий график,260
аналитик данных crm (middle),"outlines tech – это аккредитованная it-компания. мы разрабатываем по и проекты для корпораций, а также подбираем сотрудников высокого класса. среди клиентов – банки из топ-5 россии, ритейл, строительные и логистические компании. официально трудоустраиваем в штат it-специалистов для работы на долгосрочных проектах. сейчас мы в поиске одной из части нашей команды - аналитика данных crm (middle)   почему мы: 1) outlines tech — аккредитованная it-компания. это значит, что мы подлежим всем вытекающим льготам. 2) люди на первом месте не на словах, а на деле: отдел заботы курирует команду 24/7. 3) помимо «белого» трудоустройства: ежегодная индексация зарплаты, 28 дней отпуска и 5 relax days (бесплатные отгулы). а ещё предоставляем медстраховку со стоматологией, технику, оплачиваем обучение и подписки. 4) входим в рейтинг лучших работодателей россии по версии forbes и рбк.5) вкладываемся в образование: помогаем выступить на конференциях, написать статью в технический блог, выучить английский, вырасти в профессии и сменить стек. 6) техническая команда состоит из прокаченных специалистов, многие из которых известны в мире it. мы обязательно поможем вам развиться внутренними митингами, а если вы круче — поможете нам. 7) у нас драйвовая и заботливая корпоративная культура. переходите в наш telegram-канал и убедитесь в этом: @outlines_tech кстати, там коллеги публикуют лайфхаки по развитию в it с заботой о себе. ваша зона ответственности: проекты по внедрению и развитию решений для автоматизации маркетинговых коммуникаций.  разработка и согласование бизнес требований на формирование витрин данных в рамках проектов направления crm; разработка и согласование функциональных требований к загрузкам данных в рамках проектов направления crm; проектирование прототипов и пилотных решений в рамках проектов направления crm.  необходимые навыки:  опыт работы с oracle, postgresql/greenplum - обязательно опыт написания технической документации и работы с ней; опыт поиска и анализа данных из систем с многокомпонентной структурой.  откликайтесь скорее – порадуйте наших рекрутеров!",230000,2024-02-07,москва,Outlines Technologies,postgresql;oracle database;postgresql;разработка bi;анализ данных;информационная грамотность;формирование технических заданий;информационная грамотность,"3-6",удаленная работа,413
младший аналитик / стажер,"мы компания truck radar — один из лидеров индустрии грузовых перевозок. мы занимаемся факторингом — помогаем зарабатывать частным перевозчикам и большим автопаркам. наши диспетчеры находят для них выгодные рейсы, организуют быструю оплату. в такой большой стране — это ключевая часть экономики, как кровеносная система организма. мы резиденты сколково и официальные партнеры ati.su. наш продукт - это предоставление финансовых услуг в сфере логистики. наша цель – рост и стабильность наших клиентов. мы опережаем рынок, постоянно открывая новые возможности для жизни и бизнеса. наша миссия - помочь перевозчикам по всей стране справиться с кассовыми разрывами и масштабироваться. честность, ответственность и сервис - ключевые ценности, на которые мы ориентируемся. наша компания в цифрах: - 10 000 - мы финансируем перевозки уже более 10 000 перевозчиков в россии. мы прошли путь от небольшой компании до мощной экосистемы с сервисами мирового уровня. на рынке грузоперевозок мы работаем с 2015 года, открыв ещё два прибыльных бизнеса. - 120 000 - за время нашей работы мы с нашими партнёрами выполнили 120 000 перевозок. - 1000 + сотрудников в компании и мы рады видеть рядом тех, кто готов вместе с нами строить транспортную логистику будущего! • стабильностьгрузоперевозки — устойчивая индустрия и ключевая часть экономики страны.• ростбизнес «трак радар» постоянно растет. по ключевым направлениям мы выросли в 11 раз и не сбавляем темпа.• карьерные перспективыобязательное условие в растущей компании. у нас обязательный карьерный рост: сотрудники растут вместе с бизнесом. мы предлагаем повышение квалификации и систему наставников, которые помогают быстрее добиваться успеха.• высокие зарплаты85% сотрудников довольны своим доходом. у нас лояльная система мотивации, мы всегда поощряем сотрудников, которые достигают результатов.• команда профессионалову нас сплоченная команда эффективных специалистов, открытых для инициатив и самостоятельных действий, что позволяет решать самые сложные задачи, стоящие перед нами.• интересные задачиделайте то, что умеете и учитесь новому! мы даём свободу действий, помогаем обретать профессиональные навыки и приходим на помощь в работе над сложными проектами. обязанности:   создание отчетных форм и работа с формулами в ms excel;   анализ и автоматизация бизнес-процессов;   сбор данных и формирование отчетности, соблюдение требований к отчетам и метрикам;   координация задач отдела с ежедневным отчетом руководителю;   работа со сводными таблицами;   анализ данных на расхождения;   разработка отчетов (excel, power bi);   что мы ждем от тебя: - опыт работы с битрикс24 как пользователь - обязательно; - понимание работы программ power query, power bi, sql - базовые навыки по этим программам будет преимуществом. ​условия:   стабильные и своевременные выплаты 2 раза в месяц;   оклад обсуждается с более успешными кандидатами, индивидуально, в зависимости от навыков;   график работы гибрид: понедельник - пятница 8:00 до 17:00 выходные: суббота/воскресенье и праздничные дни;   дружный коллектив;   работа в стабильной и активно развивающейся компании.   будем рады получить ваше резюме!",60000,2024-01-15,москва,TRUCK RADAR,google docs;microsoft excel;microsoft power bi;sql;разработка bi;анализ данных;аналитическое мышление;управление базами данных;ведение отчетности;ведение отчетности;управление базами данных;информационная грамотность;внимательность;финансовый анализ,"1-3",полный день,414
аналитик sql,"devino telecom – международная телекоммуникационная компания, лидер рынка персонализированных коммуникаций. по результатам исследования аналитического центра раэк devino telecom признана лидером среди поставщиков sms-информирования в сегменте retail. среди наших клиентов крупнейшие торговые сети, банки и государственные компании, такие как эльдорадо, м.видео, банк уралсиб, почта россии, marykay, kari, modis, техносила, adidas, tervolina и многие другие. возможности инфраструктуры devino telecom по скорости и надежности приближаются к мощностям операторов «большой тройки». мы предоставляем сервис в режиме 24/7 с высочайшим уровнем доступности. в среднем за месяц платформа обрабатывает около 1 миллиарда сообщений. у нас накоплен большой опыт в построении высоконагруженных сервисов с использованием технологий. мы в поисках аналитика данных, который будет заниматься сверкой и аналитикой больших объемов данных в корпоративных бд. обязанности:   сверка абонентских плат (продажа и закупка). аналитика по различным источникам (базам) данных.   сверка трафика с данными операторов, акцепт счетов для бухгалтерии, корректировки по результатам сверки в dwh.   ручной сбор трафика по отдельным клиентам, сверка трафика с хранилищем dwh.   ручной запуск отдельных отчетов в pbi.   задачи по автоматизации бизнес-процессов.   взаимозаменяемость с коллегами по отделу (участок выставления счетов).   требования:   знание sql: простые и сложные запросы, понимание структуры базы данных.   понимание процесса сверки больших массивов данных.   опыт участия в автоматизации бизнес-процессов с учетом потребностей и пожеланий бизнеса.   умение и желание разбираться в предметной области.     релевантный опыт в коммерческих компаниях (предпочтительно it, телеком) от 1 года.​​​​​ условия:    официальное оформление по тк рф. своевременная &quot;белая&quot; оплата труда, оклад - 130 000 net на испытательный срок, от 150 000 net + kpi после. график: 5/2 с началом рабочего дня с 8 до 11 по мск (возможны сдвиги при проведении работ в неурочное время). удаленка 3 раза в неделю. офис в шаговой доступности от м. технопарк. корпоративный дмс. гарантированный профессиональный рост - большой объем данных, вариативность при использовании sql, использование различных инструментов обработки, анализа и выгрузки данных - sql, pbi, crm. ",180000,2024-01-22,москва,Devino Telecom,"","1-3",полный день,327
разработчик power bi,"компания «skai» (ex. «скаут- корпоративные решения) – разработчик и интегратор it-решений по снижению рисков для жизни и здоровья сотрудников, повышению экономической эффективности корпоративных автопарков.поддержка процессов управления безопасностью и охраной труда реализуется на базе собственной it-платформы skai, разработанной с применением технологий компьютерного зрения (cv) и искусственного интеллекта (ai).   в связи с развитием департамента федеральных продаж мы ищем к себе в команду разработчика power bi   мы предлагаем:  конкурентную заработную плату, комфортные условия труда + возможность работать в интересном, творческом и молодом коллективе! у нас созданы условия для отдыха в течение рабочего дня: оборудованная кухня и зона отдыха, массажное кресло, кикер, ps. мы гордимся экспертностью нашей команды, поэтому обновляем нашу корпоративную библиотеку, а также организуем обучение для наших сотрудников и рады, когда коллеги продвигаются по карьерной лестнице. мы ценим наших сотрудников, поэтому предоставляем дополнительные дни больничного, с сохранением заработной платы, бонус &quot;приведи друга на работу&quot;. график работы: пятидневка (гибкое начало рабочего дня с 9.00 до 10.00), 8-ми часовой рабочий день; территориально мы находимся в 13 мин. пешком от ст.м. старая деревня; гибридный график работы офис – дом, возможен с первого месяца работы; дмс после прохождения испытательного срока.  чем тебе предстоит заниматься:  разрабатывать, поддерживать, развивать и оптимизировать аналитические отчеты и дашборды в power bi; сбором требований, написанием тз для создания дашбордов; созданием дашбордов в power bi; разработкой и анализом метрик для отчетности; тестированием отчетов, анализом корректности данных.  нам важно:  опыт разработки на ms power bi от 2-х лет; уверенное владение dax; опыт самостоятельного написания дашборда от сбора требований и написания тз до конечной реализации и последующего поддержания; отличное знание excel; опыт работы с 1с (формирование отчетов, выгрузка данных); опыт взаимодействия в процессе работы с коммерческим департаментом, отделом продаж и маркетинга.  будет плюсом:  владение sql на уровне запросов и создания витрин; знание принципов визуализации и дизайна дашбордов. ",150000,2024-02-06,санкт-петербург,SKAI,microsoft power bi;sql;разработка bi;финансовый анализ;многозадачность;знание базовых принципов разработки,"1-3",полный день,61
аналитик (разработчик),"бкс мир инвестиций – международная инвестиционно-банковская компания, одна из крупнейших в россии. мы существуем на рынке уже 28 лет и предоставляем клиентам максимально широкий спектр брокерских и инвестиционных услуг. сегодня бкс мир инвестиций обслуживает более 1 млн клиентов, а в холдинге работает около 6000 сотрудников – наши филиалы расположены по всей россии. мы знаем об инвестициях все и успешно помогаем нашим клиентам достигать финансовых целей: создаем универсальную платформу для инвестиций и предлагаем широкий спектр услуг и продуктов – только самые эффективные инструменты, высококачественную аналитику и сильнейшую экспертизу. присоединяйся к нашей команде, если тебе интересна финансово-инвестиционная сфера, профессиональный и карьерный рост и финансовый успех! чем предстоит заниматься:  собирать, анализировать и утверждать с заказчиком требований на разработку новой и доработку действующей отчетности; собирать / дорабатывать витрины данных, на основании которых формируется отчетность; собирать / дорабатывать визуализации отчетности в excel / bi; поддерживать и контролировать качества данных в действующей отчетности; выгружать ad-hoc запросы; анализировать данные и проводить оценку существующей отчетности, осуществлять разработку и внедрение предложений по ее оптимизации.  наши ожидания:  высшее образование; опыт работы с отчетностью по направлению продаж (предпочтителен опыт в финансовом секторе) не менее 2 лет; умение получать нужную информацию из неструктурированного исходного материала: интервью, письма, встречи; умение работать с большим количеством данных и обрабатывать их; владеете excel, sql, tableau (любая система bi) на продвинутом уровне; опыт работы с vba будет преимуществом быть самостоятельным, проактивным и отвечать за результат.  мы предлагаем:  заработную плату: конкурентный уровень оклада + премии; мероприятия по дополнительной мотивации; комфортный офис в центре (м. проспект мира); работу в компании-лидере инвестиционного рынка; оформление согласно тк рф; активную корпоративную жизнь и дружную команду; дмс, корпоративные скидки и предложения для сотрудников ",150000,2024-02-16,москва,Компания БКС,разработка bi;организация и управление бизнес-процессами;ведение финансовой отчетности;ведение отчетности,"1-3",полный день,3
аналитик,"мы международный финтех стартап http://empay.com. в команду по разработке приглашаем system analyst.обязанности:- выявление и анализ бизнес-требований, разработка технических спецификаций и понимание принципов проектирования архитектуры, включая ddd, user story и use case;- разработка и декомпозиция требований к данным, ui (макеты в figma) и api (openapi, asyncapi);- разработка критериев готовности продукта (dod), участие в создании и проверке тест-кейсов;- активное взаимодействие с владельцем продукта, разработчиками, тестировщиками,выстраивание ожиданий бизнеса по рискам и срокам реализации- постановка задач для разработчиков - грамотная декомпозиция и оценка системных требований в бэклог, управление изменениями в элементах бэклога- проектирование и сопровождение комплексных интеграционных решений;- управление и ведение документации по проекту;- сопровождение этапов разработки и тестирования, участие в функциональном и uat тестировании;- участие в проработке нефункциональных требований и пользовательской документации;- разработка требований к backend и frontend системам, участие в проработке архитектурных решений;- построение моделей бизнес-процессов и моделей данных.требования:- техническое образование/бэкграунд;- понимание процесса разработки и поддержки по в разрезе различных методологий и подходов (agile, waterfall);- понимание принципов ci/cd;- умение пользоваться git/github и markdown;- знание инструментов управления проектами и документацией (confluence, jira, github projects);- опыт написания технических заданий, требований и сценариев;- владение нотациями er, uml и bpmn для моделирования процессов и систем;- опыт проектирования логической модели данных;- понимание процесса интеграций между информационными системами;- опыт описания интеграционных взаимодействий;- навыки работы с инструментами для тестирования api (curl, postman);- знание принципов микросервисной архитектуры и очередей сообщений (rabbitmq);- понимание форматов json, yaml;- интерес к решению сложных нестандартных задач и желание развиваться в области анализа;- работоспособность, аккуратность в работе, ответственность за результат;- умение грамотно излагать свои мысли в устной и письменной форме;- понимание архитектуры по;- понимание типовых решений для клиент-серверных приложений;- опыт работы в роли системного аналитика от 2 лет.будет плюсом:- опыт работы в atlassian confluence, jira;- опыт работы с sql и/или nosql базами данных;- опыт работы с docker, kubernetes;- опыт в фин. тех. и банковской сфере.мы предлагаем:• возможность работать в перспективном финтех стартапе;• современные подходы к архитектуре и технологический стек (elixir/phoenix, flutter, typescript/react, docker, kubernetes, werf)• возможность предлагать свои идеи и влиять на результат;• наращивать экспертизу в финтех/open banking;• комфортную атмосферу – мы уважаем друг друга, открыты к общению на любые темы и ценим увлеченных людей;• заработная плата (₽): от 150к и выше по результатам собеседования + опцион;• удаленная работа, fulltime;• возможность релокации france, uk (после испытательного срока, необязательно).",200000,2024-01-05,новосибирская область,СОУШЛ ИМПАКТ ТЕХНОЛОДЖИС,"","1-3",полный день,240
аналитик,"  мы международный финтех стартап empay.com. в команду по разработке приглашаем system analyst.   обязанности: - выявление и анализ бизнес-требований, разработка технических спецификаций и понимание принципов проектирования архитектуры, включая ddd, user story и use case; - разработка и декомпозиция требований к данным, ui (макеты в figma) и api (openapi, asyncapi); - разработка критериев готовности продукта (dod), участие в создании и проверке тест-кейсов; - активное взаимодействие с владельцем продукта, разработчиками, тестировщиками, выстраивание ожиданий бизнеса по рискам и срокам реализации - постановка задач для разработчиков - грамотная декомпозиция и оценка системных требований в бэклог, управление изменениями в элементах бэклога - проектирование и сопровождение комплексных интеграционных решений; - управление и ведение документации по проекту; - сопровождение этапов разработки и тестирования, участие в функциональном и uat тестировании; - участие в проработке нефункциональных требований и пользовательской документации; - разработка требований к backend и frontend системам, участие в проработке архитектурных решений; - построение моделей бизнес-процессов и моделей данных.   требования: - техническое образование/бэкграунд; - понимание процесса разработки и поддержки по в разрезе различных методологий и подходов (agile, waterfall); - понимание принципов ci/cd; - умение пользоваться git/github и markdown; - знание инструментов управления проектами и документацией (confluence, jira, github projects); - опыт написания технических заданий, требований и сценариев; - владение нотациями er, uml и bpmn для моделирования процессов и систем; - опыт проектирования логической модели данных; - понимание процесса интеграций между информационными системами; - опыт описания интеграционных взаимодействий; - навыки работы с инструментами для тестирования api (curl, postman); - знание принципов микросервисной архитектуры и очередей сообщений (rabbitmq); - понимание форматов json, yaml; - интерес к решению сложных нестандартных задач и желание развиваться в области анализа; - работоспособность, аккуратность в работе, ответственность за результат; - умение грамотно излагать свои мысли в устной и письменной форме; - понимание архитектуры по; - понимание типовых решений для клиент-серверных приложений; - опыт работы в роли системного аналитика от 2 лет.   будет плюсом: - опыт работы в atlassian confluence, jira; - опыт работы с sql и/или nosql базами данных; - опыт работы с docker, kubernetes; - опыт в фин. тех. и банковской сфере.   мы предлагаем: • возможность работать в перспективном финтех стартапе; • современные подходы к архитектуре и технологический стек (elixir/phoenix, flutter, typescript/react, docker, kubernetes, werf) • возможность предлагать свои идеи и влиять на результат; • наращивать экспертизу в финтех/open banking; • комфортную атмосферу – мы уважаем друг друга, открыты к общению на любые темы и ценим увлеченных людей; • заработная плата (₽): от 150к и выше по результатам собеседования + опцион; • удаленная работа, fulltime; • возможность релокации france, uk (после испытательного срока, необязательно).",200000,2024-01-25,москва,СОУШЛ ИМПАКТ ТЕХНОЛОДЖИС,"","1-3",удаленная работа,154
